seq,payload_bytes,ewma_bytes,route,switched
891,512,512.0,UDS,0
892,512,512.0,UDS,0
893,512,512.0,UDS,0
894,512,512.0,UDS,0
895,512,512.0,UDS,0
896,512,512.0,UDS,0
897,512,512.0,UDS,0
898,512,512.0,UDS,0
899,512,512.0,UDS,0
900,512,512.0,UDS,0
901,512,512.0,UDS,0
902,512,512.0,UDS,0
903,512,512.0,UDS,0
904,512,512.0,UDS,0
905,512,512.0,UDS,0
906,512,512.0,UDS,0
907,512,512.0,UDS,0
908,512,512.0,UDS,0
909,512,512.0,UDS,0
910,512,512.0,UDS,0
911,512,512.0,UDS,0
912,512,512.0,UDS,0
913,512,512.0,UDS,0
914,512,512.0,UDS,0
915,512,512.0,UDS,0
916,512,512.0,UDS,0
917,512,512.0,UDS,0
918,512,512.0,UDS,0
919,512,512.0,UDS,0
920,512,512.0,UDS,0
921,512,512.0,UDS,0
922,512,512.0,UDS,0
923,512,512.0,UDS,0
924,512,512.0,UDS,0
925,512,512.0,UDS,0
926,512,512.0,UDS,0
927,512,512.0,UDS,0
928,512,512.0,UDS,0
929,512,512.0,UDS,0
930,512,512.0,UDS,0
931,512,512.0,UDS,0
932,512,512.0,UDS,0
